SampleID;CFU/ml;log CFU/ml
R103-A;2010;3.303
R103-B;2490;3.396
R103-C;8141;3.911
R103-D;7444;3.872
R103-E;3491.5;3.543
R103-F;1230;3.090
R104-A;710;2.851
R104-B;460;2.663
R104-C;130;2.114
R104-D;1380;3.140
R104-E;440;2.643
R104-F;490;2.690
R105-A;2470;3.393
R105-B;9774;3.990
R105-C;3270;3.515
R105-D;980;2.991
R105-E;2380;3.377
R105-F;830;2.919
R106-A;4505.5;3.654
R106-B;5817;3.765
R106-C;8669;3.938
R106-D;1110;3.045
R106-E;28028;4.448
R106-F;3150;3.498
R107-A;940;2.973
R107-B;1400;3.146
R107-C;1340;3.127
R107-D;1820;3.260
R107-E;930;2.968
R107-F;12028;4.080
R108-A;1600;3.204
R108-B;430;2.633
R108-C;2740;3.438
R108-D;2780;3.444
R108-E;35000;4.544
R108-F;3910;3.592
R109-A;3030;3.481
R109-B;16722;4.223
R109-C;6575;3.818
R109-D;2030;3.307
R109-E;33000;4.519
R109-F;5569.5;3.746
R110-A;12000;4.079
R110-B;610;2.785
R110-C;19081;4.281
R110-D;9847.5;3.993
R110-E;24000;4.380
R110-F;268000;5.428
R111-A;1610;3.207
R111-B;1720;3.236
R111-C;910;2.959
R111-D;670;2.826
R111-E;3640;3.561
R111-F;2060;3.314
R112-A;2910;3.464
R112-B;3010;3.479
R112-C;2530;3.403
R112-D;3130;3.496
R112-E;3220;3.508
R112-F;7549.5;3.878
R113-A;108000;5.033
R113-B;28183;4.450
R113-C;4373.5;3.641
R113-D;6528.5;3.815
R113-E;5693;3.755
R113-F;3720;3.571
R114-A;42044.5;4.624
R114-B;3720;3.571
R114-C;16184;4.209
R114-D;2450;3.389
R114-E;55000;4.740
R114-F;14652.5;4.166
R115-A;56113.3125;4.749
R115-B;5847.5;3.767
R115-C;8374;3.923
R115-D;7146;3.854
R115-E;9872.5;3.994
R115-F;15025;4.177
R116-A;89180.08594;4.950
R116-B;2460;3.391
R116-C;1760;3.246
R116-D;3000;3.477
R116-E;2480;3.394
R116-F;3140;3.497
R117-A;1563.156565;3.194
R117-B;3480;3.542
R117-C;2860;3.456
R117-D;3100;3.491
R117-E;2120;3.326
R117-F;3570;3.553
R118-A;380.7688904;2.581
R118-B;2140;3.330
R118-C;2510;3.400
R118-D;2220;3.346
R118-E;14073;4.148
R118-F;8472.5;3.928
R119-A;1803.642151;3.256
R119-B;1410;3.149
R119-C;12197;4.086
R119-D;970;2.987
R119-E;850;2.929
R119-F;70000;4.845
R120-A;1222.468567;3.087
R120-B;6996;3.845
R120-C;80000;4.903
R120-D;1150;3.061
R120-E;840;2.924
R120-F;910;2.959
R121-A;701.4163818;2.846
R121-B;280;2.447
R121-C;3940;3.595
R121-D;460;2.663
R121-E;1240;3.093
R121-F;1090;3.037
R122-A;128258.9961;5.108
R122-B;3440;3.537
R122-C;2720;3.435
R122-D;19000;4.279
R122-E;8988;3.954
R122-F;8349.5;3.922
R123-A;75000;4.875
R123-B;15604.5;4.193
R123-C;16722;4.223
R123-D;16432;4.216
R123-E;11272;4.052
R123-F;9160;3.962
R124-A;2280;3.358
R124-B;590;2.771
R124-C;2000;3.301
R124-D;2340;3.369
R124-E;3890;3.590
R124-F;2130;3.328
R125-A;5213.5;3.717
R125-B;2680;3.428
R125-C;15811.5;4.199
R125-D;1370;3.137
R125-E;2070;3.316
R125-F;3450;3.538
R126-A;7348.5;3.866
R126-B;420;2.623
R126-C;12022;4.080
R126-D;9602.5;3.982
R126-E;76000;4.881
R126-F;2740;3.438
R127-B;3731.5;3.572
R127-C;6544;3.816
R127-D;4684.5;3.671
R127-E;2820;3.450
R127-F;3380;3.529
R128-A;689.5;2.839
R128-B;1260;3.100
R128-C;1570;3.196
R128-D;1050;3.021
R128-E;470;2.672
R128-F;580;2.763
R129-A;664;2.822
R129-B;106581.5;5.028
R129-C;11527;4.062
R129-D;10069;4.003
R129-E;1982.5;3.297
R129-F;12792;4.107
R130-A;2321.5;3.366
R130-B;2221;3.347
R130-C;1920;3.283
R130-D;1295627.5;6.112
R130-E;12851.5;4.109
R130-F;1520;3.182
R131-A;570;2.756
R131-B;720;2.857
R131-C;270;2.431
R131-D;440;2.643
R131-E;670;2.826
R131-F;197000;5.294
R132-A;120;2.079
R132-B;540;2.732
R132-C;60;1.778
R132-D;60;1.778
R132-E;120;2.079
R132-F;150;2.176
R133-A;1128;3.052
R133-B;910;2.959
R133-C;130000;5.114
R133-D;2550;3.407
R133-E;1780;3.250
R133-F;980;2.991
R134-A;509;2.707
R134-B;1590;3.201
R134-C;3420;3.534
R134-D;610;2.785
R134-E;610;2.785
R134-F;680;2.833
R135-A;1685;3.227
R135-B;1620;3.210
R135-C;2260;3.354
R135-D;3480;3.542
R135-E;1970;3.294
R135-F;2160;3.334
R136-A;33372.5;4.523
R136-B;400;2.602
R136-C;710;2.851
R136-D;1660;3.220
R136-E;270;2.431
R136-F;830;2.919
R137-A;2580;3.412
R137-B;606435.5;5.783
R137-C;12137;4.084
R137-D;27019;4.432
R137-E;75000;4.875
R137-F;74000;4.869
R138-A;10809;4.034
R138-B;12345.5;4.092
R138-C;16680.5;4.222
R138-D;12000.5;4.079
R138-E;30357.5;4.482
R138-F;53000;4.724
R139-A;11463.5;4.059
R139-B;8767;3.943
R139-C;11321;4.054
R139-D;5879;3.769
R139-E;12000;4.079
R139-F;5724;3.758
R140-A;1740;3.241
R140-B;320;2.505
R140-C;590;2.771
R140-D;2320;3.365
R140-E;790;2.898
R140-F;12554.5;4.099
R141-A;610;2.785
R141-B;930;2.968
R141-C;320;2.505
R141-D;300;2.477
R141-E;850;2.929
R141-F;860;2.934
R142-A;17218.5;4.236
R142-B;1750;3.243
R142-C;5383.5;3.731
R142-D;1720;3.236
R142-E;1200;3.079
R142-F;7775.5;3.891
R143-A;10241;4.010
R143-B;8767;3.943
R143-C;5118.5;3.709
R143-D;13292.5;4.124
R143-E;8669;3.938
R143-F;21000;4.322
R144-A;310;2.491
R144-B;290;2.462
R144-C;270;2.431
R144-D;200;2.301
R144-E;320;2.505
R144-F;520;2.716
R145-A;57000;4.756
R145-B;5569.5;3.746
R145-C;1430;3.155
R145-D;2670;3.427
R145-E;2430;3.386
R145-F;13414;4.128
R146-A;6987.5;3.844
R146-B;9896.5;3.995
R146-C;54000;4.732
R146-D;9356.5;3.971
R146-E;640;2.806
R146-F;970;2.987
R147-A;1750;3.243
R147-B;500;2.699
R147-C;500;2.699
R147-D;1130;3.053
R147-E;2230;3.348
R147-F;105000;5.021
R148-A;1470;3.167
R148-B;7126.5;3.853
R148-C;3900;3.591
R148-D;2630;3.420
R148-E;2200;3.342
R148-F;2640;3.422
R149-A;4280.5;3.631
R149-B;3600;3.556
R149-C;4270;3.630
R149-D;10658.5;4.028
R149-E;94000;4.973
R149-F;204000;5.310
R150-A;2920;3.465
R150-B;7734;3.888
R150-C;2700;3.431
R150-D;1520;3.182
R150-E;2170;3.336
R150-F;14000;4.146
R151-A;28727;4.458
R151-B;2090397.5;6.320
R151-C;222000;5.346
R151-D;560024.5;5.748
R151-E;44000;4.643
R151-F;6637;3.822
R152-A;2160;3.334
R152-B;5310.5;3.725
R152-C;32376;4.510
R152-D;63000;4.799
R152-E;2000;3.301
R152-F;3660;3.563
