Genus;Sporeformer;isolate;rep;STorAT;LOG10N0;lag;mumax;LOG10Nmax;Topt;Tmin
Pseudomonas;no;R10-0056;1;13;3.95;56.14;0.46;8.16;30;-4.15
Pseudomonas;no;R10-0056;2;13;3.88;58.64;0.52;8.08;30;-4.15
Pseudomonas;no;R10-0056;3;13;3.75;55.86;0.45;8.15;30;-4.15
Pseudomonas;no;R10-0084;1;9;3.39;0;0.1;8;28;-4.15
Pseudomonas;no;R10-0084;2;9;3.27;4.04;0.11;7.9;28;-4.15
Pseudomonas;no;R10-0084;3;9;4.02;0;0.07;8.27;28;-4.15
Pseudomonas;no;R10-0151;1;24;3.12;7.28;0.08;7.77;28;-4.15
Pseudomonas;no;R10-0151;2;24;3.12;11.85;0.08;7.78;28;-4.15
Pseudomonas;no;R10-0151;3;24;3.13;7.69;0.08;7.8;28;-4.15
Pseudomonas;no;R10-0531;1;48;2.92;33.01;0.08;8.55;30;-4.15
Pseudomonas;no;R10-0531;2;48;2.95;39.1;0.09;8.58;30;-4.15
Pseudomonas;no;R10-0531;3;48;2.89;34.75;0.08;8.52;30;-4.15
Pseudomonas;no;R10-0553;1;52;2.66;1.36;0.07;8.1;28;-4.15
Pseudomonas;no;R10-0553;2;52;3.07;12.77;0.07;8.04;28;-4.15
Pseudomonas;no;R10-0553;3;52;2.87;9.53;0.07;8.06;28;-4.15
Pseudomonas;no;R10-0908;1;23;3.63;59.38;0.46;7.7;30;-4.15
Pseudomonas;no;R10-0908;2;23;3.69;58.85;0.44;7.7;30;-4.15
Pseudomonas;no;R10-0908;3;23;3.55;53.53;0.22;7.76;30;-4.15
Pseudomonas;no;R10-0990;1;6;3.09;20.56;0.09;7.58;29;-4.15
Pseudomonas;no;R10-0990;2;6;3.02;19.95;0.09;7.53;29;-4.15
Pseudomonas;no;R10-0990;3;6;3.02;41.12;0.05;7.94;29;-4.15
Pseudomonas;no;R10-1432;1;100;3.27;3.47;0.13;7.93;30;-4.15
Pseudomonas;no;R10-1432;2;100;3.38;8.87;0.13;7.91;30;-4.15
Pseudomonas;no;R10-1432;3;100;3.39;7.66;0.13;7.82;30;-4.15
Lactococcus;special;W6-0449;NA;;;;;;;-4.15
Acinetobacter;no;R10-2381;1;2;2.98;10.57;0.1;7.3;30;-4.15
Acinetobacter;no;R10-2381;2;2;2.95;13.79;0.1;7.15;30;-4.15
Acinetobacter;no;R10-2381;3;2;3.76;42.89;0.08;7.15;30;-4.15
Psychrobacter;special;NA;NA;;;;;;;-4.15
Stenotrophomonas;no;R10-1181;1;41;3.13;5.69;0.07;8.24;30;-4.15
Stenotrophomonas;no;R10-1181;2;41;3.26;8.89;0.08;8.11;30;-4.15
Stenotrophomonas;no;R10-1181;3;41;3.16;0;0.06;8.39;30;-4.15
Paenibacillus;yes;A5-0030;;179;2.93;5.75;0.96;7.63;30;-3.62
Paenibacillus;yes;H8-0237;;15;3.55;0;0.34;8.74;30;-3.62
Paenibacillus;yes;H8-0287;;100;3.46;11.39;1.23;6.58;30;-3.62
Paenibacillus;yes;J3-0120 ;;340;3.37;4.08;0.92;7.37;30;-3.62
Paenibacillus;yes;R7-0277;;45;4.31;17.9;0.92;7.87;30;-3.62
Bacillus;yes;H7-0687 ;NA;3;2.84;8.9;1.36;5.8;30;-3.62
Bacillus;yes;W8-0169 ;NA;61;2.77;13.72;1.74;6.38;30;-3.62
