Genus;A;B;C;D
Staphylococcus;0;0.1;0.9;0
Pseudomonas;0;0;0;1
Streptococcus;0;0.18;0.82;0
Lactococcus;0;0;0.75;0.25
Enterococcus;0;0.42;0.25;0.33
Lactobacillus;0;0.33;0.33;0.33
Acinetobacter;0;0;0;1
Ruminococcaceae;0.95;0;0.05;0
Paeniclostridium;1;0;0;0
Aerococcus;0;0;1;0
Corynebacterium;0;0.08;0.58;0.33
Leuconostoc;0;0;0.33;0.67
Psychrobacter;0;0;0;1
Rikenellaceae;0;0;0;1
Chryseobacterium;0;0;0;1
Stenotrophomonas;0;0;0;1
Bacteroides;0;0;0;1
Paenibacillus;1;0;0;0
Bacillus;1;0;0;0
Microbacterium;0.5;0.5;0;0
